shipment_id,order_id,warehouse,carrier,shipped_date,delivered_date
196,229,CLT-03,USPS,2025-03-30 08:34:00,2025-03-31 08:34:00
197,230,CLT-03,UPS,2025-07-29 10:46:00,
198,231,CLT-03,USPS,2025-10-03 04:11:00,2025-10-07 04:11:00
199,232,DFW-02,UPS,2025-05-02 19:45:00,
200,233,CLT-03,FedEx,2025-07-29 16:02:00,2025-08-03 16:02:00
201,234,DFW-02,FedEx,2025-08-03 05:35:00,2025-08-08 05:35:00
202,235,CLT-03,FedEx,2025-11-13 14:59:00,2025-11-18 14:59:00
203,236,DFW-02,UPS,2025-09-12 23:16:00,2025-09-14 23:16:00
204,237,ATL-01,DHL,2025-09-29 22:52:00,2025-10-02 22:52:00
205,238,DFW-02,UPS,2025-10-25 23:04:00,2025-10-29 23:04:00
206,239,ATL-01,USPS,2025-09-14 23:41:00,2025-09-19 23:41:00
207,240,DFW-02,FedEx,2025-07-14 10:32:00,2025-07-17 10:32:00
208,241,ATL-01,USPS,2025-04-17 15:36:00,2025-04-19 15:36:00
209,242,ATL-01,USPS,2025-05-26 21:59:00,2025-05-29 21:59:00
210,243,ATL-01,UPS,2025-07-22 00:49:00,2025-07-25 00:49:00
211,245,DFW-02,FedEx,2025-09-05 06:13:00,2025-09-06 06:13:00
212,246,ATL-01,UPS,2025-08-24 08:03:00,2025-08-27 08:03:00
213,247,ATL-01,USPS,2025-10-09 20:24:00,2025-10-10 20:24:00
214,250,CLT-03,FedEx,2025-05-08 21:39:00,2025-05-12 21:39:00
215,251,ATL-01,USPS,2025-08-09 18:34:00,2025-08-14 18:34:00
216,252,CLT-03,USPS,2025-07-12 23:07:00,
217,253,ATL-01,DHL,2025-09-17 03:08:00,
218,254,DFW-02,FedEx,2025-06-13 05:12:00,2025-06-16 05:12:00
219,255,CLT-03,DHL,2025-05-18 01:38:00,2025-05-19 01:38:00
220,256,CLT-03,DHL,2025-09-12 01:12:00,2025-09-16 01:12:00
221,257,ATL-01,UPS,2025-08-31 03:11:00,2025-09-01 03:11:00
222,258,CLT-03,UPS,2025-06-02 11:05:00,2025-06-04 11:05:00
223,260,ATL-01,FedEx,2025-06-19 15:34:00,2025-06-20 15:34:00
224,261,ATL-01,USPS,2025-08-11 01:09:00,2025-08-12 01:09:00
225,262,CLT-03,FedEx,2025-05-01 12:52:00,
226,264,DFW-02,DHL,2025-01-30 19:14:00,2025-02-04 19:14:00
227,265,ATL-01,USPS,2025-04-17 17:51:00,2025-04-20 17:51:00
228,267,CLT-03,USPS,2025-10-22 01:41:00,
229,268,DFW-02,DHL,2025-09-01 10:35:00,2025-09-02 10:35:00
230,269,DFW-02,UPS,2025-07-01 05:36:00,2025-07-04 05:36:00
231,270,ATL-01,DHL,2025-10-15 11:28:00,2025-10-20 11:28:00
232,272,CLT-03,USPS,2025-10-26 21:54:00,2025-10-31 21:54:00
233,273,DFW-02,UPS,2025-07-16 09:40:00,2025-07-18 09:40:00
234,274,ATL-01,DHL,2025-11-03 17:32:00,
235,275,ATL-01,DHL,2025-08-16 03:24:00,
236,276,DFW-02,UPS,2025-06-03 21:41:00,2025-06-04 21:41:00
237,277,DFW-02,UPS,2025-06-12 05:18:00,2025-06-16 05:18:00
238,278,ATL-01,USPS,2025-02-14 22:37:00,2025-02-18 22:37:00
239,279,ATL-01,USPS,2025-05-18 19:06:00,2025-05-20 19:06:00
240,281,DFW-02,DHL,2024-10-26 22:35:00,2024-10-30 22:35:00
241,282,ATL-01,UPS,2025-07-06 21:11:00,2025-07-08 21:11:00
242,283,DFW-02,FedEx,2024-09-04 23:56:00,2024-09-08 23:56:00
243,284,DFW-02,USPS,2025-05-22 00:36:00,2025-05-27 00:36:00
244,285,DFW-02,UPS,2025-07-16 22:05:00,
245,286,ATL-01,USPS,2025-06-03 15:36:00,2025-06-08 15:36:00
246,287,DFW-02,UPS,2025-09-05 00:18:00,2025-09-08 00:18:00
247,288,ATL-01,UPS,2024-12-15 05:58:00,2024-12-19 05:58:00
248,290,CLT-03,FedEx,2025-09-02 05:13:00,2025-09-06 05:13:00
249,291,ATL-01,USPS,2025-08-20 12:30:00,2025-08-23 12:30:00
250,292,CLT-03,UPS,2025-07-19 14:49:00,2025-07-22 14:49:00
251,293,ATL-01,FedEx,2024-08-16 02:00:00,2024-08-17 02:00:00
252,294,DFW-02,DHL,2025-08-10 20:36:00,2025-08-14 20:36:00
253,295,DFW-02,UPS,2025-10-22 10:16:00,
254,296,CLT-03,USPS,2025-11-01 08:11:00,2025-11-05 08:11:00
255,297,CLT-03,DHL,2024-10-02 02:36:00,2024-10-07 02:36:00
256,298,ATL-01,USPS,2025-05-30 23:49:00,2025-06-03 23:49:00
257,299,CLT-03,FedEx,2025-08-20 12:03:00,2025-08-23 12:03:00
258,300,ATL-01,UPS,2025-07-08 12:42:00,
259,301,ATL-01,FedEx,2025-11-15 07:31:00,2025-11-20 07:31:00
260,302,ATL-01,UPS,2024-11-13 23:09:00,2024-11-14 23:09:00
261,303,ATL-01,UPS,2025-04-05 03:29:00,2025-04-08 03:29:00
262,304,ATL-01,DHL,2025-01-28 02:07:00,2025-01-30 02:07:00
263,305,ATL-01,UPS,2024-08-10 05:59:00,
264,307,ATL-01,FedEx,2025-10-11 17:32:00,2025-10-15 17:32:00
265,308,CLT-03,FedEx,2025-10-24 01:41:00,2025-10-25 01:41:00
266,309,ATL-01,UPS,2025-09-19 15:32:00,
267,310,DFW-02,FedEx,2025-02-27 07:47:00,2025-02-28 07:47:00
268,311,ATL-01,UPS,2025-10-26 14:11:00,2025-10-29 14:11:00
269,312,ATL-01,DHL,2025-07-14 08:08:00,
270,313,ATL-01,UPS,2025-06-27 06:37:00,2025-07-01 06:37:00
271,314,ATL-01,USPS,2025-09-05 16:02:00,2025-09-07 16:02:00
272,315,CLT-03,UPS,2025-03-04 02:01:00,2025-03-08 02:01:00
273,316,DFW-02,DHL,2025-08-01 12:57:00,2025-08-05 12:57:00
274,317,CLT-03,UPS,2024-10-12 11:11:00,2024-10-14 11:11:00
275,319,ATL-01,DHL,2025-08-17 08:03:00,
276,321,CLT-03,USPS,2025-08-22 15:09:00,2025-08-24 15:09:00
277,322,DFW-02,USPS,2025-07-17 20:41:00,2025-07-21 20:41:00
278,323,ATL-01,FedEx,2025-10-04 04:22:00,2025-10-06 04:22:00
279,324,CLT-03,FedEx,2024-10-13 10:36:00,
280,326,ATL-01,USPS,2025-11-07 10:41:00,2025-11-12 10:41:00
281,327,DFW-02,UPS,2025-05-13 07:28:00,2025-05-18 07:28:00
282,328,CLT-03,UPS,2025-06-25 06:31:00,2025-06-29 06:31:00
283,330,CLT-03,DHL,2025-11-12 16:21:00,
284,331,ATL-01,DHL,2025-09-29 09:53:00,2025-10-03 09:53:00
285,332,CLT-03,UPS,2025-08-22 07:01:00,
286,333,ATL-01,UPS,2025-06-24 18:01:00,2025-06-27 18:01:00
287,335,CLT-03,USPS,2025-10-29 16:12:00,2025-11-01 16:12:00
288,336,ATL-01,FedEx,2025-07-02 11:52:00,
289,337,DFW-02,USPS,2025-06-22 06:50:00,2025-06-24 06:50:00
290,338,ATL-01,UPS,2025-08-27 00:47:00,2025-08-29 00:47:00
291,340,CLT-03,UPS,2025-08-14 03:50:00,
292,341,CLT-03,FedEx,2025-09-29 00:33:00,2025-10-02 00:33:00
293,342,CLT-03,UPS,2025-08-17 03:11:00,2025-08-20 03:11:00
294,343,CLT-03,UPS,2025-04-13 03:24:00,2025-04-17 03:24:00
295,344,ATL-01,USPS,2025-05-29 21:43:00,
296,345,DFW-02,UPS,2025-07-23 12:07:00,2025-07-25 12:07:00
297,346,DFW-02,USPS,2025-03-08 15:14:00,2025-03-10 15:14:00
298,347,DFW-02,DHL,2025-04-05 19:06:00,2025-04-06 19:06:00
299,349,CLT-03,FedEx,2025-01-03 22:24:00,2025-01-07 22:24:00
300,350,DFW-02,UPS,2024-10-27 08:31:00,2024-10-30 08:31:00
301,351,ATL-01,USPS,2025-04-20 11:26:00,2025-04-23 11:26:00
302,352,CLT-03,UPS,2024-09-12 10:02:00,2024-09-15 10:02:00
303,353,ATL-01,USPS,2025-06-15 22:43:00,2025-06-20 22:43:00
304,354,CLT-03,USPS,2024-10-18 18:25:00,2024-10-21 18:25:00
305,355,CLT-03,DHL,2025-08-15 10:12:00,2025-08-18 10:12:00
306,356,DFW-02,USPS,2025-07-12 20:03:00,2025-07-14 20:03:00
307,357,DFW-02,DHL,2025-03-26 05:16:00,2025-03-29 05:16:00
308,360,DFW-02,FedEx,2025-10-03 04:15:00,
309,361,CLT-03,FedEx,2024-12-14 06:17:00,2024-12-18 06:17:00
310,362,CLT-03,USPS,2025-03-24 04:23:00,2025-03-27 04:23:00
311,363,ATL-01,USPS,2025-09-26 03:34:00,2025-09-30 03:34:00
312,364,CLT-03,USPS,2024-11-22 15:30:00,2024-11-27 15:30:00
313,365,CLT-03,DHL,2025-08-22 01:41:00,2025-08-27 01:41:00
314,366,ATL-01,DHL,2025-10-31 14:30:00,2025-11-03 14:30:00
315,368,ATL-01,USPS,2025-06-08 08:44:00,2025-06-10 08:44:00
316,369,ATL-01,DHL,2025-11-02 03:00:00,2025-11-06 03:00:00
317,370,CLT-03,DHL,2025-02-15 06:52:00,2025-02-17 06:52:00
318,371,CLT-03,FedEx,2025-03-09 18:43:00,2025-03-13 18:43:00
319,372,DFW-02,USPS,2025-05-08 13:47:00,2025-05-10 13:47:00
320,373,DFW-02,USPS,2025-10-31 19:45:00,2025-11-03 19:45:00
321,374,DFW-02,UPS,2025-11-07 17:02:00,2025-11-09 17:02:00
322,375,ATL-01,USPS,2024-10-16 04:31:00,2024-10-20 04:31:00
323,376,ATL-01,DHL,2025-11-11 04:35:00,2025-11-15 04:35:00
324,377,ATL-01,USPS,2025-11-12 17:31:00,2025-11-13 17:31:00
325,378,DFW-02,UPS,2025-09-30 23:32:00,2025-10-04 23:32:00
326,379,DFW-02,UPS,2025-04-11 00:05:00,2025-04-14 00:05:00
327,380,DFW-02,FedEx,2024-11-13 19:24:00,
328,381,DFW-02,USPS,2025-04-03 13:47:00,2025-04-07 13:47:00
329,382,DFW-02,UPS,2025-07-24 02:48:00,2025-07-26 02:48:00
330,383,CLT-03,UPS,2025-06-08 02:58:00,2025-06-09 02:58:00
331,384,CLT-03,DHL,2025-05-24 03:29:00,2025-05-27 03:29:00
332,385,CLT-03,UPS,2025-08-14 19:51:00,2025-08-18 19:51:00
333,386,ATL-01,UPS,2025-05-12 00:10:00,2025-05-13 00:10:00
334,388,DFW-02,DHL,2025-01-20 04:47:00,2025-01-24 04:47:00
335,390,CLT-03,USPS,2025-07-20 19:59:00,2025-07-24 19:59:00
336,391,CLT-03,DHL,2025-08-24 00:10:00,2025-08-29 00:10:00
337,392,ATL-01,FedEx,2025-10-16 23:45:00,2025-10-18 23:45:00
338,393,DFW-02,DHL,2025-07-25 03:50:00,2025-07-26 03:50:00
339,394,DFW-02,UPS,2025-07-28 03:35:00,2025-08-01 03:35:00
340,395,CLT-03,UPS,2024-12-10 19:39:00,2024-12-12 19:39:00
341,396,ATL-01,DHL,2025-02-15 11:10:00,2025-02-16 11:10:00
342,397,CLT-03,USPS,2025-03-28 05:05:00,2025-04-02 05:05:00
343,399,CLT-03,DHL,2025-09-23 16:18:00,2025-09-26 16:18:00
344,401,CLT-03,UPS,2025-04-08 10:48:00,2025-04-12 10:48:00
345,402,CLT-03,FedEx,2024-11-02 11:16:00,2024-11-04 11:16:00
346,403,ATL-01,UPS,2025-04-03 21:50:00,2025-04-07 21:50:00
347,404,CLT-03,DHL,2025-05-25 04:30:00,2025-05-28 04:30:00
348,406,DFW-02,USPS,2025-06-05 01:47:00,
349,407,ATL-01,DHL,2024-09-24 04:09:00,2024-09-25 04:09:00
350,409,CLT-03,UPS,2025-08-02 19:26:00,2025-08-07 19:26:00
351,410,CLT-03,FedEx,2025-07-09 06:39:00,2025-07-10 06:39:00
352,411,DFW-02,UPS,2024-09-09 06:15:00,2024-09-13 06:15:00
353,412,CLT-03,USPS,2025-11-08 17:10:00,2025-11-09 17:10:00
354,413,CLT-03,FedEx,2024-09-22 01:19:00,2024-09-27 01:19:00
355,415,CLT-03,DHL,2025-10-22 00:17:00,2025-10-24 00:17:00
356,417,CLT-03,USPS,2025-11-14 20:13:00,2025-11-17 20:13:00
357,418,ATL-01,FedEx,2025-08-28 08:15:00,2025-08-29 08:15:00
358,419,DFW-02,DHL,2025-07-11 22:45:00,2025-07-16 22:45:00
359,420,CLT-03,USPS,2025-10-02 22:00:00,
360,423,DFW-02,UPS,2024-12-29 18:54:00,2025-01-02 18:54:00
361,424,CLT-03,DHL,2025-06-27 15:23:00,2025-07-01 15:23:00
362,425,DFW-02,UPS,2024-08-08 06:21:00,
363,426,CLT-03,FedEx,2025-09-20 10:53:00,2025-09-23 10:53:00
